,gene_symbol,DE,adj_pval_DE,SD_ratio,LFC,DV,adj_pval_DV,DS,adj_pval_DS,de_bs,dv_bs,ds_bs
ENSG00000280237,MIR4697HG,-0.148221365,0.484459934,0.747806654,-0.419262787,-0.112466039,0.352896889,-0.822879411,0.170490403,0,0,0
ENSG00000272444,AL118558.4,-0.457246476,9.24E-07,0.716279676,-0.481405088,-0.156330747,0.168421558,-0.822789294,0.757080694,1,0,0
ENSG00000165525,NEMF,-0.056222414,1,0.663248899,-0.592377719,-0.096952265,0.033178444,-0.822512931,0.453444497,0,0,0
ENSG00000157741,UBN2,-0.045733362,1,0.70484707,-0.504617824,-0.068153979,0.128043284,-0.822456237,0.27997097,0,0,0
ENSG00000187650,VMAC,-0.093068334,1,0.779198812,-0.359936617,-0.100286127,0.773984761,-0.822236133,0.119764549,0,0,0
ENSG00000165792,METTL17,-0.080543204,0.8275406,0.756434372,-0.402713175,-0.066570178,0.486604243,-0.822135083,0.726214333,0,0,0
ENSG00000138316,ADAMTS14,-0.18381339,1,0.754185474,-0.407008731,-0.227879753,0.44605456,-0.822074708,1,0,0,0
ENSG00000180257,ZNF816,0.141704223,0.080919548,1.027967966,0.039795308,0.008005062,1,-0.821635672,0.581962022,0,0,0
ENSG00000063169,BICRA,-0.098305936,0.537481315,0.625557852,-0.676784783,-0.120302634,0.016008692,-0.821571709,0.434310486,0,0,0
ENSG00000074047,GLI2,0.404733584,0.00083426,0.807265562,-0.308884748,-0.121393303,1,-0.821542973,0.59334064,1,0,0
ENSG00000206503,HLA-A,0.070371184,1,0.838415643,-0.254262461,-0.06544758,1,-0.821495388,0.005969754,0,0,1
ENSG00000177731,FLII,0.059343869,1,0.827070803,-0.273917255,-0.042057835,1,-0.821462847,1,0,0,0
ENSG00000119431,HDHD3,-0.021009175,1,0.742782532,-0.428988208,-0.065111532,0.301287805,-0.821295556,0.293553276,0,0,0
ENSG00000261829,AC009407.1,0.07578188,1,0.611138675,-0.710428312,-0.230061961,0.006867419,-0.820956924,0.475571713,0,0,0
ENSG00000127663,KDM4B,-0.068092172,0.401279821,0.603193643,-0.72930687,-0.084354788,0.006339013,-0.820811289,0.293496777,0,0,0
ENSG00000198040,ZNF84,-0.083085363,0.042611986,0.803649867,-0.315361008,-0.034298472,1,-0.820794255,0.247028293,0,0,0
ENSG00000115919,KYNU,0.163208575,0.693119878,0.874043248,-0.194223429,-0.062861661,1,-0.820702237,0.97938843,0,0,0
ENSG00000165819,METTL3,-0.11042682,0.007444364,0.622829583,-0.683090625,-0.082210188,0.009935462,-0.820430663,7.65E-18,0,0,1
ENSG00000139168,ZCRB1,-0.096112091,0.07718198,0.619654188,-0.690464783,-0.089751922,0.010032209,-0.820384247,0.651850125,0,0,0
ENSG00000111684,LPCAT3,0.052935162,1,0.845054361,-0.242883945,-0.036299049,1,-0.820343137,0.353201417,0,0,0
ENSG00000068028,RASSF1,0.001733605,1,0.602977252,-0.729824518,-0.116174016,0.008072322,-0.820193979,3.28E-06,0,0,1
ENSG00000198795,ZNF521,0.079092783,1,0.649694458,-0.622166697,-0.113247009,0.030207312,-0.820166061,0.811920153,0,0,0
ENSG00000100722,ZC3H14,0.064776057,0.165510124,0.587847136,-0.766487049,-0.072647959,0.002984158,-0.82014974,0.558890224,0,1,0
ENSG00000133858,ZFC3H1,0.033110539,1,0.624176142,-0.679974881,-0.10922874,0.009763381,-0.819863921,0.876675233,0,0,0
